,dish_type,price,star,comment_num,location
153,聚餐宴请,95,5,299,浦东新区
154,聚餐宴请,146,4,250,浦东新区
155,聚餐宴请,111,4,211,嘉定区
156,聚餐宴请,74,4,442,徐汇区
157,聚餐宴请,71,5,215,其他区
158,聚餐宴请,83,4,197,宝山区
159,聚餐宴请,38,4,273,浦东新区
160,聚餐宴请,93,4,231,松江区
161,聚餐宴请,54,4,149,浦东新区
162,聚餐宴请,61,4,683,浦东新区
163,聚餐宴请,97,4,347,嘉定区
164,聚餐宴请,369,4,266,长宁区
165,江浙菜,88,4,1059,徐汇区
166,江浙菜,91,4,84,静安区
167,江浙菜,0,4,54,杨浦区
168,江浙菜,268,4,10,浦东新区
169,江浙菜,79,4,68,闵行区
170,江浙菜,52,4,67,青浦区
171,江浙菜,123,4,6,闵行区
172,江浙菜,49,4,304,松江区
173,江浙菜,54,5,206,浦东新区
174,江浙菜,200,4,115,徐汇区
175,江浙菜,86,4,58,松江区
176,江浙菜,41,4,166,青浦区
177,江浙菜,410,5,0,浦东新区
178,江浙菜,68,4,1468,青浦区
179,江浙菜,101,4,2485,奉贤区
180,聚餐宴请,43,4,286,嘉定区
181,聚餐宴请,62,4,215,闵行区
182,聚餐宴请,80,4,580,杨浦区
183,聚餐宴请,53,4,130,宝山区
184,聚餐宴请,59,4,311,浦东新区
185,聚餐宴请,77,4,361,普陀区
186,聚餐宴请,119,4,91,浦东新区
187,聚餐宴请,162,4,185,浦东新区
188,聚餐宴请,54,4,159,黄浦区
189,聚餐宴请,165,4,232,浦东新区
190,聚餐宴请,78,4,188,松江区
191,聚餐宴请,51,4,440,浦东新区
192,聚餐宴请,162,4,163,长宁区
193,聚餐宴请,149,3,113,黄浦区
194,聚餐宴请,105,4,207,浦东新区
195,江浙菜,91,4,10,长宁区
196,江浙菜,92,4,406,其他区
197,江浙菜,68,4,1468,青浦区
198,江浙菜,164,5,219,杨浦区
199,江浙菜,73,4,476,浦东新区
200,江浙菜,63,4,1740,浦东新区
201,江浙菜,94,4,389,松江区
202,江浙菜,93,4,771,宝山区
203,江浙菜,53,4,157,青浦区
204,江浙菜,97,4,17,静安区
205,江浙菜,57,4,952,静安区
206,江浙菜,73,5,85,宝山区
207,江浙菜,606,5,0,浦东新区
208,江浙菜,64,4,182,青浦区
209,江浙菜,48,4,55,浦东新区
210,江浙菜,415,5,2,浦东新区
211,江浙菜,62,4,36,金山区
212,江浙菜,66,4,62,嘉定区
213,江浙菜,90,3,1043,闵行区
214,江浙菜,47,4,278,青浦区
215,江浙菜,65,4,197,宝山区
216,江浙菜,588,5,74,静安区
217,江浙菜,53,4,235,浦东新区
218,江浙菜,40,4,529,奉贤区
219,江浙菜,108,4,0,闵行区
220,江浙菜,81,4,1377,杨浦区
221,江浙菜,51,4,71,松江区
222,江浙菜,84,5,793,徐汇区
223,江浙菜,30,4,28,虹口区
224,江浙菜,51,4,108,金山区
225,蛋糕甜点,0,5,51,静安区
226,蛋糕甜点,93,5,938,浦东新区
227,蛋糕甜点,26,5,138,普陀区
228,蛋糕甜点,0,5,14,长宁区
229,蛋糕甜点,10,5,6019,奉贤区
230,蛋糕甜点,50,5,2085,松江区
231,蛋糕甜点,0,5,41,静安区
232,蛋糕甜点,28,5,127,普陀区
233,蛋糕甜点,24,5,1555,长宁区
234,蛋糕甜点,0,4,8,杨浦区
235,蛋糕甜点,173,5,1873,普陀区
236,蛋糕甜点,29,4,5931,青浦区
237,蛋糕甜点,166,4,37,松江区
238,蛋糕甜点,13,4,1686,金山区
239,蛋糕甜点,9,4,1117,嘉定区
240,江浙菜,77,3,0,浦东新区
241,江浙菜,58,4,85,静安区
242,江浙菜,88,4,22,松江区
243,江浙菜,63,4,1,浦东新区
244,江浙菜,0,4,70,金山区
245,江浙菜,90,4,71,闵行区
246,江浙菜,255,5,0,长宁区
247,江浙菜,68,4,133,松江区
248,江浙菜,43,4,286,嘉定区
249,江浙菜,121,4,2,宝山区
250,江浙菜,39,3,62,静安区
251,江浙菜,50,4,75,金山区
252,江浙菜,98,4,3,虹口区
253,江浙菜,57,4,797,嘉定区
254,江浙菜,18,4,809,松江区
255,聚餐宴请,88,4,121,黄浦区
256,聚餐宴请,412,4,66,浦东新区
257,聚餐宴请,45,4,60,其他区
258,聚餐宴请,77,3,262,金山区
259,聚餐宴请,74,5,160,浦东新区
260,聚餐宴请,74,4,222,静安区
261,聚餐宴请,94,4,63,长宁区
262,聚餐宴请,33,4,135,嘉定区
263,聚餐宴请,119,4,102,浦东新区
264,聚餐宴请,117,4,95,黄浦区
265,聚餐宴请,127,3,109,青浦区
266,聚餐宴请,111,4,333,闵行区
267,聚餐宴请,91,4,351,浦东新区
268,聚餐宴请,35,5,50,其他区
269,聚餐宴请,90,4,50,宝山区
270,聚餐宴请,108,4,321,杨浦区
271,聚餐宴请,65,4,592,闵行区
272,聚餐宴请,96,4,245,徐汇区
273,聚餐宴请,176,4,422,浦东新区
274,聚餐宴请,118,4,129,浦东新区
275,聚餐宴请,102,4,100,普陀区
276,聚餐宴请,161,3,253,嘉定区
277,聚餐宴请,66,4,174,徐汇区
278,聚餐宴请,158,4,199,静安区
279,聚餐宴请,102,4,343,闵行区
280,聚餐宴请,85,5,176,嘉定区
281,聚餐宴请,71,4,169,浦东新区
282,聚餐宴请,127,4,110,静安区
283,聚餐宴请,55,4,299,宝山区
284,聚餐宴请,63,4,97,松江区
285,江浙菜,63,4,1,浦东新区
286,江浙菜,83,4,21,青浦区
287,江浙菜,57,4,11,黄浦区
288,江浙菜,121,4,2,宝山区
289,江浙菜,111,4,27,浦东新区
290,江浙菜,23,4,8,虹口区
291,江浙菜,98,4,3,虹口区
292,江浙菜,57,5,50,金山区
293,江浙菜,40,3,1,金山区
294,江浙菜,165,4,28,普陀区
295,江浙菜,24,3,46,黄浦区
296,江浙菜,58,4,33,闵行区
297,江浙菜,90,4,9,青浦区
298,江浙菜,93,5,1274,奉贤区
299,江浙菜,33,4,12,黄浦区
