restaurant_name,star,price,comment_num
朝府城,0.8,0.013404297260003943,0.06578026592022393
雍记大酒店（嘉定新城店）,0.8,0.013995663315592351,0.020604929632221446
特色活羊烧烤,0.8,0.007096392667060911,0.014112432936785631
和路雪星任冷饮批发部,1.0,0.0017740981667652277,0.02771946193919602
虾烤汇小龙虾,0.8,0.006307904592943032,0.04315372055050152
盯把来黑土地东北菜（成山路店）,0.8,0.010053222945002957,0.017844646606018196
索菲特海仑宾馆海茂中餐厅,0.8,0.03449635324265721,0.024181634398569317
尹兰楼西北清真餐厅（嘉定店）,0.8,0.011038833037650306,0.050812534017572505
香港翠庭餐厅（传奇广场店）,0.8,0.01734673763059334,0.019788507892076822
洲海花园酒店丽景轩餐厅,1.0,0.02444313029765425,0.016911593188710054
国营工农饭店,0.8,0.011235955056179775,0.024609283881502218
万嘉（锦尊店）,0.8,0.01636112753794599,0.030985148899774512
麦盛莉（世博园区店）,0.8,0.017938103686181747,0.012751730036544591
真味川菜（龙茗店）,0.8,0.010644589000591367,0.01869994557188399
御京阁羊羯子火锅（高行店）,0.8,0.012418687167356593,0.019555244537749785
聚满楼,0.8,0.012024443130297654,0.028185988647850088
田园晶品会,0.8,0.022077666075300612,0.01212969442500583
东北农家小院（中山西路店）,1.0,0.010644589000591367,0.04552523131949304
粤煮粤好中餐厅,0.8,0.019909323871476443,0.06616903817743566
精典1号,0.8,0.010447466982061896,0.02620325013607029
杭州新开元大酒店（卢湾店）,0.8,0.02877981470530258,0.02585335510457974
徽膳轩（汇智国际商业中心店）,0.8,0.013404297260003943,0.02114921079231786
百味楼（民耀路店）,0.8,0.013404297260003943,0.01333488842236218
华亭湖时代大酒店,1.0,0.03252513305736251,0.02589223233030091
若鲜鱼虾小馆（大宁店）,0.8,0.012615809185886064,0.04867428660290802
烁鼎精品火锅,0.8,0.023063276167947958,0.01088562320192831
恒隆酒楼（春申路店）,0.8,0.018529469741770156,0.021032579115154344
添禧小厨（翔殷路店）,0.8,0.007096392667060911,0.01469559132260322
绍兴饭店（世博店）,0.6,0.027597082594125764,0.013218256745198663
8+1石锅鱼（九亭店）,0.8,0.009856100926473488,0.09147811212191898
江南公社（惠南镇店）,0.8,0.011630199093238714,0.04051006920146178
梦雅,0.8,0.015769761482357578,0.008669621335821475
迎园食府,1.0,0.0254287403903016,0.017416997123085295
醉湘酒楼（虬泾路店）,0.8,0.007884880741178789,0.01193530829639997
古镇邵稼楼,0.8,0.010841711019120836,0.020799315760827306
重庆鸡公煲川味烤鱼,0.8,0.009461856889414548,0.05400046652670865
渔水有约（华侨城店）,0.8,0.012221565148827124,0.048091128217090426
新镇江酒家,0.8,0.026020106445890007,0.030596376642562786
兄弟龙虾烧烤（魔都旗舰店）,0.6,0.018529469741770156,0.028924655936552367
梦湘媛,0.8,0.013404297260003943,0.01395692403390094
天水雅居（柳营路店）,0.8,0.03666469544648137,0.047857864862763395
丁香（汇智国际商业中心店）,0.6,0.017740981667652277,0.023248580981261178
川悦味来（怒江北路店）,0.8,0.010250344963532427,0.020604929632221446
煌庭·生活时尚大酒店（嘉定店）,1.0,0.02247191011235955,0.03460073089184356
明会,0.8,0.027597082594125764,0.021926755306741312
后宫,0.8,0.019515079834417505,0.00796983127284037
农家大院（虹桥店）,1.0,0.018332347723240685,0.07647150299354638
沪碟精菜坊（新源路店）,1.0,0.018923713778829097,0.027214058004820775
巷味老上海菜馆,0.8,0.01517839542676917,0.004548635409377187
桃花源酒家（张江店）,1.0,0.009658978907944017,0.12790607262265766
泓叶·上海梦（天山西路店）,1.0,0.022077666075300612,0.0071922867584169195
洞天食府,1.0,0.013798541297062882,0.004665267086540704
金美华轩（外高桥皇冠店）,1.0,0.019317957815888034,0.10555166783298343
嘉定公馆,1.0,0.03903015966883501,0.012207448876448177
人和馆（徐汇滨江店）,0.8,0.025625862408831065,0.0035767047663478736
馨丰小海鲜家常菜,1.0,0.010841711019120836,0.017883523831739367
恒隆酒楼（春申路店）,0.8,0.018529469741770156,0.021032579115154344
亦锅亦笼塔吉锅料理,0.8,0.011433077074709246,0.05812145245315294
水云阁柴火饭·菜,1.0,0.011038833037650306,0.017650260477412333
全聚德（不夜城店）,0.8,0.019909323871476443,0.11060570717673587
金悦饭店,0.8,0.01636112753794599,0.012440712230775211
龙门石锅鱼（佳林路店）,1.0,0.013601419278533412,0.02651426794183967
地锅传奇（花山路店）,0.8,0.00808200275970826,0.04626389860819532
顺兴川菜,0.8,0.020500689927064854,0.018272296088951093
牧羊庄烤全羊神农牧羊（浦东店）,1.0,0.031539522964715155,0.018894331700489854
康乃馨食府（南京东路店）,1.0,0.03863591563177607,0.011468781587745898
阿刚碳烤音乐烧烤吧（三林店）,0.8,0.013404297260003943,0.01255734390793873
迪豪小田园酒店（水清路店）,0.8,0.018135225704711218,0.008358603530052095
蒸八鲜农家土菜,0.8,0.009264734870885078,0.009097270818754374
上海人家花樣年华（中山公园龙之梦店）,0.8,0.033313621131480384,0.032384729025736726
洋人阿婆（营口店）,0.8,0.01596688350088705,0.05656636342430604
快乐鸟（环城路店）,0.8,0.018726591760299626,0.025309073944483323
红子鸡（澳门路店）,0.8,0.02286615414941849,0.018622191120441646
九臻堂（长泰广场店）,0.8,0.017938103686181747,0.010069201461783688
小鹭鹭酒家,0.8,0.023851764242065837,0.012285203327890522
桥水人家,1.0,0.012024443130297654,0.018272296088951093
鲜墙房（人民广场店）,0.8,0.04553518628030751,0.00765881346707099
茴憶傳家菜,0.8,0.011433077074709246,0.14248503226809736
