浦东新区,东北菜,28
浦东新区,东南亚菜,29
浦东新区,中式烧烤/烤串,111
浦东新区,云贵菜,10
浦东新区,京菜鲁菜,14
浦东新区,代金券,219
浦东新区,其他美食,153
浦东新区,创意菜,41
浦东新区,台湾/客家菜,15
浦东新区,小吃快餐,190
浦东新区,川湘菜,216
浦东新区,新疆菜,9
浦东新区,日本料理,174
浦东新区,江浙菜,208
浦东新区,汤/粥/炖菜,41
浦东新区,海鲜,203
浦东新区,火锅,192
浦东新区,烧烤烤肉,163
浦东新区,聚餐宴请,230
浦东新区,自助餐,138
浦东新区,蛋糕甜点,213
浦东新区,西北菜,18
浦东新区,西餐,184
浦东新区,韩国料理,45
浦东新区,香锅烤鱼,104
虹口区,东南亚菜,11
虹口区,中式烧烤/烤串,12
虹口区,云贵菜,2
虹口区,京菜鲁菜,2
虹口区,代金券,22
虹口区,其他美食,25
虹口区,创意菜,6
虹口区,台湾/客家菜,3
虹口区,小吃快餐,33
虹口区,川湘菜,30
虹口区,新疆菜,1
虹口区,日本料理,35
虹口区,江浙菜,31
虹口区,汤/粥/炖菜,4
虹口区,海鲜,30
虹口区,火锅,35
虹口区,烧烤烤肉,24
虹口区,聚餐宴请,22
虹口区,自助餐,18
虹口区,蛋糕甜点,34
虹口区,西北菜,5
虹口区,西餐,38
虹口区,韩国料理,7
虹口区,香锅烤鱼,15
金山区,东北菜,2
金山区,东南亚菜,3
金山区,中式烧烤/烤串,10
金山区,代金券,34
金山区,其他美食,23
金山区,创意菜,6
金山区,台湾/客家菜,1
金山区,小吃快餐,37
金山区,川湘菜,37
金山区,日本料理,15
金山区,江浙菜,45
金山区,汤/粥/炖菜,3
金山区,海鲜,30
金山区,火锅,33
金山区,烧烤烤肉,23
金山区,聚餐宴请,42
金山区,自助餐,16
金山区,蛋糕甜点,35
金山区,西餐,13
金山区,韩国料理,4
金山区,香锅烤鱼,26
长宁区,东北菜,2
长宁区,东南亚菜,17
长宁区,中式烧烤/烤串,19
长宁区,云贵菜,3
长宁区,京菜鲁菜,5
长宁区,代金券,37
长宁区,其他美食,35
长宁区,创意菜,12
长宁区,台湾/客家菜,6
长宁区,小吃快餐,42
长宁区,川湘菜,31
长宁区,新疆菜,2
长宁区,日本料理,127
长宁区,江浙菜,30
长宁区,汤/粥/炖菜,6
长宁区,海鲜,38
长宁区,火锅,40
长宁区,烧烤烤肉,48
长宁区,聚餐宴请,29
长宁区,自助餐,49
长宁区,蛋糕甜点,43
长宁区,西北菜,2
