dish_type,star,price
东北菜,3.8625954198473282,62.19847328244275
东南亚菜,3.896860986547085,99.65470852017937
中式烧烤/烤串,3.80718954248366,78.26960784313725
云贵菜,3.914285714285714,89.01428571428572
京菜鲁菜,4.083333333333333,123.54166666666667
代金券,4.118407960199005,70.92437810945273
其他美食,3.8586206896551722,108.52068965517242
创意菜,3.945273631840796,156.83084577114428
台湾/客家菜,3.8266666666666667,72.08
小吃快餐,4.105472636815921,43.73731343283582
川湘菜,3.881592039800995,65.85671641791045
新疆菜,3.712121212121212,67.62121212121212
日本料理,4.0676616915422885,162.8825870646766
江浙菜,3.9800995024875623,109.02388059701492
汤/粥/炖菜,4.046666666666667,44.906666666666666
海鲜,3.8793103448275863,141.58735632183908
火锅,4.029850746268656,94.68756218905473
烧烤烤肉,3.936318407960199,94.70945273631841
聚餐宴请,4.001990049751244,114.63482587064676
自助餐,3.903030303030303,142.8151515151515
蛋糕甜点,4.101492537313433,57.39303482587065
西北菜,3.9466666666666668,59.24
西餐,3.9482587064676617,132.41691542288558
韩国料理,4.056666666666667,81.20333333333333
香锅烤鱼,3.7956777996070725,57.86836935166994
