,dish_type,restaurant_name,price,star,comment_num
109,聚餐宴请,天雅村酒店（泗泾镇店）,76,4,374
110,聚餐宴请,桃花源酒家（高行店）,51,4,329
111,聚餐宴请,思湘情（长江南路店）,54,3,196
112,聚餐宴请,皖南公社（卫零路店）,35,4,316
113,聚餐宴请,毛家湘味楼（松东路店）,58,4,1044
114,聚餐宴请,郭师傅 （殷高西路店）,57,4,326
115,聚餐宴请,麦盛莉如庭大酒店（崇明店）,90,5,175
116,聚餐宴请,张生记（正大店）,120,3,248
117,聚餐宴请,粤汕一牛牛肉火锅（田尚坊店）,88,4,121
118,聚餐宴请,梅园邨酒家（卢湾金钟店）,116,4,498
119,聚餐宴请,新龙象大酒店（莲溪路店）,94,4,276
120,江浙菜,鲜菜坊（枫泾店）,61,4,99
121,江浙菜,小绍兴（江桥老街店）,34,4,599
122,江浙菜,梦香村（莘庄店）,95,4,255
123,江浙菜,世博江宴,335,5,3
124,江浙菜,绍兴饭店（大宁旗舰店）,131,4,982
125,江浙菜,国色添湘,73,3,112
126,江浙菜,荟园轩,100,5,14
127,江浙菜,上海味道（桥梓湾店）,48,5,2005
128,江浙菜,庐陵庄园,70,3,73
129,江浙菜,蟹臻鲜阳澄湖大闸蟹（古北1699广场店）,100,5,5
130,江浙菜,思南汇酒楼,100,4,1246
131,江浙菜,名香泰,56,4,124
132,江浙菜,赵氏荣华园（魔方社区店）,233,5,1
133,江浙菜,阿婆小厨,44,4,45
134,江浙菜,龙飞饭店（仓场路店）,82,4,483
135,聚餐宴请,享江南臻品徽菜（大华店）,79,4,389
136,聚餐宴请,星港湾新加坡菜（莲花国际广场店）,92,4,844
137,聚餐宴请,千岛湖鱼庄（盈港路店）,78,4,185
138,聚餐宴请,鑫巴蜀新概念火锅,41,4,286
139,聚餐宴请,余记小厨（都市路店）,57,4,167
140,聚餐宴请,校外酒家（普陀真南店）,39,4,276
141,聚餐宴请,新澳申海鲜·火锅,86,4,154
142,聚餐宴请,麦香城蛋糕,0,4,456
143,聚餐宴请,馨悦阁,78,4,109
144,聚餐宴请,徽珍源（潍坊路店）,81,4,549
145,聚餐宴请,倪氏龙虾（水产西路店）,78,4,449
146,聚餐宴请,老山东（浦东店）,100,5,1060
147,聚餐宴请,印像老家,73,4,292
148,聚餐宴请,谷丰日（南翔店）,79,4,371
149,聚餐宴请,沪碟精菜坊（新村路店）,98,5,309
150,聚餐宴请,苏浙汇（肇嘉浜路总店）,175,4,352
151,聚餐宴请,苏浙汇（港汇店）,191,4,371
152,聚餐宴请,海域1品,91,4,284
153,聚餐宴请,蒋记海鲜姿造（锦绣店）,95,5,299
154,聚餐宴请,海逸逸荟（滨江店）,146,4,250
155,聚餐宴请,同君福大酒楼（曹安路店）,111,4,211
156,聚餐宴请,漕龙沈记酒楼（漕溪路店）,74,4,442
157,聚餐宴请,麦盛莉宝岛酒店（陈家镇店）,71,5,215
158,聚餐宴请,飞烤全羊,83,4,197
159,聚餐宴请,苏拿咖啡休闲餐厅（曹路店）,38,4,273
160,聚餐宴请,迪豪小田园酒店·餐饮部（谷阳北路店）,93,4,231
161,聚餐宴请,湖南毛家湘菜（西门路店）,54,4,149
162,聚餐宴请,绣丽餐厅（张江店）,61,4,683
163,聚餐宴请,梦都酒家（万达广场江桥店）,97,4,347
164,聚餐宴请,阿一鲍鱼酒家,369,4,266
165,江浙菜,人和馆（肇嘉浜路店）,88,4,1059
166,江浙菜,老绍兴大酒店（沪太路店）,91,4,84
167,江浙菜,鸿兴家常菜（包头路店）,0,4,54
168,江浙菜,心乐蝶舞江景美食（梅赛德斯奔驰店）,268,4,10
169,江浙菜,梦香村（黎安路店）,79,4,68
170,江浙菜,渔家菜,52,4,67
171,江浙菜,金虹源食府,123,4,6
172,江浙菜,御金香小菜（车墩店）,49,4,304
173,江浙菜,川沪酒楼,54,5,206
174,江浙菜,黄记阳澄湖大闸蟹,200,4,115
175,江浙菜,森林人家,86,4,58
176,江浙菜,兴隆菜馆,41,4,166
177,江浙菜,龙驿楼,410,5,0
178,江浙菜,青浦老味道,68,4,1468
179,江浙菜,小元国（南桥店）,101,4,2485
180,聚餐宴请,天府记,43,4,286
181,聚餐宴请,亚伟酒楼,62,4,215
182,聚餐宴请,东信港大酒店,80,4,580
183,聚餐宴请,瑞香阁（上大路店）,53,4,130
184,聚餐宴请,深港饭店,59,4,311
185,聚餐宴请,蜀膳传火锅传奇（镇坪店）,77,4,361
186,聚餐宴请,金叠轩大酒店,119,4,91
187,聚餐宴请,金桥红枫万豪轩,162,4,185
188,聚餐宴请,大江南酒家,54,4,159
189,聚餐宴请,苏浙汇（联洋广场店）,165,4,232
190,聚餐宴请,我家有渔,78,4,188
191,聚餐宴请,珠珍海鲜酒楼,51,4,440
192,聚餐宴请,宝燕壹号海鲜餐厅（天山店）,162,4,163
193,聚餐宴请,金门大酒店罗马厅（南京西路店）,149,3,113
194,聚餐宴请,碧丽宫大酒店（南汇店）,105,4,207
195,江浙菜,皖荟·徽菜,91,4,10
196,江浙菜,新老板娘中式快餐,92,4,406
197,江浙菜,青浦老味道,68,4,1468
198,江浙菜,蟹榭（五角场合生汇商场店）,164,5,219
199,江浙菜,世外桃源,73,4,476
200,江浙菜,农家乐,63,4,1740
201,江浙菜,和记小菜（九亭店）,94,4,389
202,江浙菜,宝山大酒店,93,4,771
203,江浙菜,通津菜馆,53,4,157
204,江浙菜,米桃-百花山房·桃花扇（协信星光广场店）,97,4,17
205,江浙菜,家宴私房菜,57,4,952
206,江浙菜,皖乡阁土菜馆,73,5,85
207,江浙菜,临江宴,606,5,0
208,江浙菜,丁香花园（新海路店）,64,4,182
209,江浙菜,华义酒楼,48,4,55
210,江浙菜,东方融宴,415,5,2
211,江浙菜,灶头屋里,62,4,36
212,江浙菜,新荣创（育英店）,66,4,62
213,江浙菜,和记小菜（七宝店）,90,3,1043
214,江浙菜,河鲜馆,47,4,278
215,江浙菜,馨旺酒店,65,4,197
216,江浙菜,蟹状元阳澄湖大闸蟹（悦达889广场店）,588,5,74
217,江浙菜,徽乡情（三林店）,53,4,235
218,江浙菜,年凯大酒店,40,4,529
219,江浙菜,客缘·初見（龙盛店）,108,4,0
220,江浙菜,洋人阿婆（营口店）,81,4,1377
221,江浙菜,小中中自家菜（松江店）,51,4,71
222,江浙菜,枚青·临安酒肆（徐家汇店）,84,5,793
223,江浙菜,森森小厨,30,4,28
224,江浙菜,聚宾乐,51,4,108
225,蛋糕甜点,西岸甜心cake【蛋糕订制】（七浦店）,0,5,51
226,蛋糕甜点,储缘蛋糕（西门路店）,93,5,938
227,蛋糕甜点,Salud冻酸奶（月星环球港店）,26,5,138
228,蛋糕甜点,西凡尼蛋糕·甜品桌定制（长宁店）,0,5,14
229,蛋糕甜点,悸动烧仙草（南桥路店）,10,5,6019
230,蛋糕甜点,麦香园MXY CAKE,50,5,2085
231,蛋糕甜点,ion·一诺蛋糕定制茶歇甜品桌（上海店）,0,5,41
232,蛋糕甜点,葡萄园蛋糕店（中环百联真光店）,28,5,127
233,蛋糕甜点,古味早到（古北店）,24,5,1555
234,蛋糕甜点,悠利克LZ烘焙蛋糕（同济大学店）,0,4,8
235,蛋糕甜点,八喜冰淇淋蛋糕,173,5,1873
236,蛋糕甜点,味多美（青浦公园店）,29,4,5931
237,蛋糕甜点,蛋白妞妞烘焙定制,166,4,37
238,蛋糕甜点,悸动烧仙草（枫泾店）,13,4,1686
239,蛋糕甜点,超级奶爸（江桥沃尔玛店）,9,4,1117
240,江浙菜,国源酒楼（临港店）,77,3,0
241,江浙菜,一品香小菜,58,4,85
242,江浙菜,张泽羊肉庄农家乐（竹亭南路店）,88,4,22
243,江浙菜,思泊湖中餐（邵记美食城店）,63,4,1
244,江浙菜,顺路酒家,0,4,70
245,江浙菜,悦鑫大酒店,90,4,71
246,江浙菜,讌·海派融合菜,255,5,0
247,江浙菜,听月楼菜馆（文涵路店）,68,4,133
248,江浙菜,天府记,43,4,286
