,dish_type,restaurant_name,price,star,comment_num,location
92,江浙菜,红番茄酒店,83,5,109,青浦区
93,江浙菜,廷盛饭店,64,4,31,青浦区
94,江浙菜,多米餐厅,49,4,1025,松江区
95,江浙菜,隆峰酒楼,66,4,1986,金山区
96,江浙菜,星卤里 大师们的味道馆（商城路店）,55,5,166,浦东新区
97,江浙菜,衡园酒家,83,4,1124,徐汇区
98,江浙菜,生态逸趣园,62,4,38,奉贤区
99,江浙菜,缘明土菜馆,61,5,49,青浦区
100,江浙菜,沈源兴（汉口路店）,20,3,68,黄浦区
101,江浙菜,徐家大院（曹安路总店）,69,4,1398,嘉定区
102,江浙菜,新上海（日月光中心广场店）,91,4,876,黄浦区
103,江浙菜,侬家厨房（控江路店）,67,4,1230,杨浦区
104,江浙菜,二子烧烤（寿宁路店）,57,4,16,黄浦区
105,聚餐宴请,星河湾酒店意咖啡（锦绣路店）,252,5,255,浦东新区
106,聚餐宴请,小神鲜餐厅（虹桥路店）,81,3,137,长宁区
107,聚餐宴请,鼎壹坊菜馆,59,4,1195,静安区
108,聚餐宴请,大牧飞沙烤全羊（川沙店）,162,4,308,浦东新区
109,聚餐宴请,天雅村酒店（泗泾镇店）,76,4,374,松江区
110,聚餐宴请,桃花源酒家（高行店）,51,4,329,浦东新区
111,聚餐宴请,思湘情（长江南路店）,54,3,196,宝山区
112,聚餐宴请,皖南公社（卫零路店）,35,4,316,金山区
113,聚餐宴请,毛家湘味楼（松东路店）,58,4,1044,松江区
114,聚餐宴请,郭师傅 （殷高西路店）,57,4,326,宝山区
115,聚餐宴请,麦盛莉如庭大酒店（崇明店）,90,5,175,其他区
116,聚餐宴请,张生记（正大店）,120,3,248,浦东新区
117,聚餐宴请,粤汕一牛牛肉火锅（田尚坊店）,88,4,121,徐汇区
118,聚餐宴请,梅园邨酒家（卢湾金钟店）,116,4,498,黄浦区
119,聚餐宴请,新龙象大酒店（莲溪路店）,94,4,276,浦东新区
120,江浙菜,鲜菜坊（枫泾店）,61,4,99,金山区
121,江浙菜,小绍兴（江桥老街店）,34,4,599,嘉定区
122,江浙菜,梦香村（莘庄店）,95,4,255,闵行区
123,江浙菜,世博江宴,335,5,3,黄浦区
124,江浙菜,绍兴饭店（大宁旗舰店）,131,4,982,静安区
125,江浙菜,国色添湘,73,3,112,嘉定区
126,江浙菜,荟园轩,100,5,14,松江区
127,江浙菜,上海味道（桥梓湾店）,48,5,2005,青浦区
128,江浙菜,庐陵庄园,70,3,73,闵行区
